mock_id,about.location,about.primary_currency,about.status,about.timezone
0,"{u'administrative_area': None, u'city': u'Singapore', u'country': {u'highres_flag_url': u'/img/flags/highres_png/singapore.png', u'code': u'sg', u'name': u'Singapore', u'seo_url': None, u'flag_url_cdn': u'//cdn2.f-cdn.com/img/flags/png/sg.png', u'highres_flag_url_cdn': u'//cdn6.f-cdn.com/img/flags/highres_png/singapore.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/sg.png', u'flag_class': u'singapore', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'USD', u'name': u'US Dollar', u'country': u'US', u'sign': u'$', u'exchange_rate': 1, u'id': 1}","{u'payment_verified': False, u'identity_verified': False, u'email_verified': True, u'deposit_made': False, u'phone_verified': False, u'facebook_connected': False, u'profile_complete': False}","{u'country': u'SG', u'offset': 8, u'id': 210, u'timezone': u'Asia/Singapore'}"
1,"{u'administrative_area': None, u'city': u'Bristol', u'country': {u'highres_flag_url': u'/img/flags/highres_png/united-kingdom.png', u'code': u'gb', u'name': u'United Kingdom', u'seo_url': None, u'flag_url_cdn': u'//cdn6.f-cdn.com/img/flags/png/gb.png', u'highres_flag_url_cdn': u'//cdn5.f-cdn.com/img/flags/highres_png/united-kingdom.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/gb.png', u'flag_class': u'united-kingdom', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'USD', u'name': u'US Dollar', u'country': u'US', u'sign': u'$', u'exchange_rate': 1, u'id': 1}","{u'payment_verified': False, u'identity_verified': False, u'email_verified': True, u'deposit_made': True, u'phone_verified': False, u'facebook_connected': False, u'profile_complete': True}","{u'country': u'UK', u'offset': 1, u'id': 262, u'timezone': u'Europe/London'}"
2,"{u'administrative_area': None, u'city': u'Ambohidratrimo', u'country': {u'highres_flag_url': u'/img/flags/highres_png/madagascar.png', u'code': u'mg', u'name': u'Madagascar', u'seo_url': None, u'flag_url_cdn': u'//cdn3.f-cdn.com/img/flags/png/mg.png', u'highres_flag_url_cdn': u'//cdn3.f-cdn.com/img/flags/highres_png/madagascar.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/mg.png', u'flag_class': u'madagascar', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'USD', u'name': u'US Dollar', u'country': u'US', u'sign': u'$', u'exchange_rate': 1, u'id': 1}","{u'payment_verified': False, u'identity_verified': False, u'email_verified': True, u'deposit_made': False, u'phone_verified': False, u'facebook_connected': False, u'profile_complete': True}","{u'country': u'MG', u'offset': 3, u'id': 295, u'timezone': u'Indian/Antananarivo'}"
3,"{u'administrative_area': None, u'city': u'Drobak', u'country': {u'highres_flag_url': u'/img/flags/highres_png/norway.png', u'code': u'no', u'name': u'Norway', u'seo_url': None, u'flag_url_cdn': u'//cdn2.f-cdn.com/img/flags/png/no.png', u'highres_flag_url_cdn': u'//cdn3.f-cdn.com/img/flags/highres_png/norway.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/no.png', u'flag_class': u'norway', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'USD', u'name': u'US Dollar', u'country': u'US', u'sign': u'$', u'exchange_rate': 1, u'id': 1}","{u'payment_verified': False, u'identity_verified': False, u'email_verified': True, u'deposit_made': True, u'phone_verified': True, u'facebook_connected': False, u'profile_complete': True}","{u'country': u'NO', u'offset': 2, u'id': 270, u'timezone': u'Europe/Oslo'}"
4,"{u'administrative_area': None, u'city': u'Torronto', u'country': {u'highres_flag_url': u'/img/flags/highres_png/canada.png', u'code': u'ca', u'name': u'Canada', u'seo_url': None, u'flag_url_cdn': u'//cdn6.f-cdn.com/img/flags/png/ca.png', u'highres_flag_url_cdn': u'//cdn6.f-cdn.com/img/flags/highres_png/canada.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/ca.png', u'flag_class': u'canada', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'USD', u'name': u'US Dollar', u'country': u'US', u'sign': u'$', u'exchange_rate': 1, u'id': 1}","{u'payment_verified': False, u'identity_verified': False, u'email_verified': True, u'deposit_made': False, u'phone_verified': False, u'facebook_connected': False, u'profile_complete': True}","{u'country': u'PK', u'offset': 5, u'id': 183, u'timezone': u'Asia/Karachi'}"
5,"{u'administrative_area': None, u'city': u'San Francisco', u'country': {u'highres_flag_url': u'/img/flags/highres_png/united-states.png', u'code': u'us', u'name': u'United States', u'seo_url': None, u'flag_url_cdn': u'//cdn3.f-cdn.com/img/flags/png/us.png', u'highres_flag_url_cdn': u'//cdn6.f-cdn.com/img/flags/highres_png/united-states.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/us.png', u'flag_class': u'united-states', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'USD', u'name': u'US Dollar', u'country': u'US', u'sign': u'$', u'exchange_rate': 1, u'id': 1}","{u'payment_verified': False, u'identity_verified': False, u'email_verified': True, u'deposit_made': True, u'phone_verified': False, u'facebook_connected': False, u'profile_complete': True}","{u'country': u'US', u'offset': -7, u'id': 105, u'timezone': u'America/Los_Angeles'}"
6,"{u'administrative_area': None, u'city': u'London', u'country': {u'highres_flag_url': u'/img/flags/highres_png/united-kingdom.png', u'code': u'gb', u'name': u'United Kingdom', u'seo_url': None, u'flag_url_cdn': u'//cdn6.f-cdn.com/img/flags/png/gb.png', u'highres_flag_url_cdn': u'//cdn5.f-cdn.com/img/flags/highres_png/united-kingdom.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/gb.png', u'flag_class': u'united-kingdom', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'USD', u'name': u'US Dollar', u'country': u'US', u'sign': u'$', u'exchange_rate': 1, u'id': 1}","{u'payment_verified': True, u'identity_verified': False, u'email_verified': True, u'deposit_made': True, u'phone_verified': False, u'facebook_connected': False, u'profile_complete': True}","{u'country': u'UK', u'offset': 1, u'id': 262, u'timezone': u'Europe/London'}"
7,"{u'administrative_area': None, u'city': u'Nashik', u'country': {u'highres_flag_url': u'/img/flags/highres_png/india.png', u'code': u'in', u'name': u'India', u'seo_url': None, u'flag_url_cdn': u'//cdn2.f-cdn.com/img/flags/png/in.png', u'highres_flag_url_cdn': u'//cdn3.f-cdn.com/img/flags/highres_png/india.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/in.png', u'flag_class': u'india', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'USD', u'name': u'US Dollar', u'country': u'US', u'sign': u'$', u'exchange_rate': 1, u'id': 1}","{u'payment_verified': False, u'identity_verified': False, u'email_verified': True, u'deposit_made': False, u'phone_verified': False, u'facebook_connected': False, u'profile_complete': True}","{u'country': u'IN', u'offset': 5.5, u'id': 403, u'timezone': u'Asia/Kolkata'}"
8,"{u'administrative_area': None, u'city': u'Timisoara', u'country': {u'highres_flag_url': u'/img/flags/highres_png/romania.png', u'code': u'ro', u'name': u'Romania', u'seo_url': None, u'flag_url_cdn': u'//cdn2.f-cdn.com/img/flags/png/ro.png', u'highres_flag_url_cdn': u'//cdn6.f-cdn.com/img/flags/highres_png/romania.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/ro.png', u'flag_class': u'romania', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'EUR', u'name': u'Euro', u'country': u'EU', u'sign': u'\u20ac', u'exchange_rate': 1.175447, u'id': 8}","{u'payment_verified': True, u'identity_verified': False, u'email_verified': True, u'deposit_made': False, u'phone_verified': False, u'facebook_connected': False, u'profile_complete': True}","{u'country': u'RO', u'offset': 3, u'id': 248, u'timezone': u'Europe/Bucharest'}"
9,"{u'administrative_area': None, u'city': u'Saginaw', u'country': {u'highres_flag_url': u'/img/flags/highres_png/united-states.png', u'code': u'us', u'name': u'United States', u'seo_url': None, u'flag_url_cdn': u'//cdn3.f-cdn.com/img/flags/png/us.png', u'highres_flag_url_cdn': u'//cdn6.f-cdn.com/img/flags/highres_png/united-states.png', u'phone_code': None, u'language_code': None, u'demonym': None, u'language_id': None, u'person': None, u'iso3': None, u'sanction': None, u'flag_url': u'/img/flags/png/us.png', u'flag_class': u'united-states', u'region_id': None}, u'vicinity': None, u'longitude': None, u'full_address': None, u'latitude': None}","{u'code': u'USD', u'name': u'US Dollar', u'country': u'US', u'sign': u'$', u'exchange_rate': 1, u'id': 1}","{u'payment_verified': True, u'identity_verified': False, u'email_verified': True, u'deposit_made': True, u'phone_verified': True, u'facebook_connected': True, u'profile_complete': False}","{u'country': u'US', u'offset': -4, u'id': 120, u'timezone': u'America/New_York'}"
